LIIF Training — 2026-05-26 22:58:58
Config: {'model': 'liif', 'encoder': 'edsr', 'encoder_args': {'n_feats': 64, 'n_resblocks': 16}, 'liif_args': {'feat_dim': 64, 'hidden_dim': 256, 'local_ensemble': True, 'feat_unfold': True, 'cell_decode': True}, 'train_hr': 'data/DIV2K/DIV2K_train_HR', 'val_hr': 'data/DIV2K/DIV2K_valid_HR', 'patch_size': 48, 'scale_min': 1.0, 'scale_max': 4.0, 'sample_q': 2304, 'val_scale': 4, 'val_batch_q': 30000, 'epochs': 500, 'batch_size': 16, 'lr': 0.0001, 'opt': 'adam', 'crit': 'l1', 'scheduler': 'multi_step', 'milestones': [200, 400], 'gamma': 0.5, 'save_dir': 'experiments/liif_edsr'}
Parameters: 1,530,371
============================================================
[Epoch 209/500] loss=0.017452 | val_psnr(x4)=28.33 dB | lr=5.00e-05 | time=102.4s
[Epoch 210/500] loss=0.017732 | val_psnr(x4)=28.33 dB | lr=5.00e-05 | time=102.7s
[Epoch 211/500] loss=0.016972 | val_psnr(x4)=28.34 dB | lr=5.00e-05 | time=102.3s
[Epoch 212/500] loss=0.017631 | val_psnr(x4)=28.32 dB | lr=5.00e-05 | time=102.1s
[Epoch 213/500] loss=0.017301 | val_psnr(x4)=28.32 dB | lr=5.00e-05 | time=102.9s
[Epoch 214/500] loss=0.017026 | val_psnr(x4)=28.30 dB | lr=5.00e-05 | time=102.8s
[Epoch 215/500] loss=0.017855 | val_psnr(x4)=28.33 dB | lr=5.00e-05 | time=103.0s
[Epoch 216/500] loss=0.017033 | val_psnr(x4)=28.31 dB | lr=5.00e-05 | time=102.9s
[Epoch 217/500] loss=0.017394 | val_psnr(x4)=28.24 dB | lr=5.00e-05 | time=103.0s
[Epoch 218/500] loss=0.017761 | val_psnr(x4)=28.30 dB | lr=5.00e-05 | time=103.0s
[Epoch 219/500] loss=0.017190 | val_psnr(x4)=28.35 dB | lr=5.00e-05 | time=102.4s
[Epoch 220/500] loss=0.017708 | val_psnr(x4)=28.34 dB | lr=5.00e-05 | time=102.7s
[Epoch 221/500] loss=0.017346 | val_psnr(x4)=28.32 dB | lr=5.00e-05 | time=103.9s
[Epoch 222/500] loss=0.017376 | val_psnr(x4)=28.36 dB | lr=5.00e-05 | time=102.7s
[Epoch 223/500] loss=0.016937 | val_psnr(x4)=28.36 dB | lr=5.00e-05 | time=102.9s
